label,address_freeform,address_locality,address_region,address_postcode,address_country,phone,base_address_freeform,base_address_locality,base_address_region,base_address_postcode,base_address_country,base_phone,match_score,pred_label,llm_same_place,llm_confidence,llm_reason,llm_correct,baseline_correct
1.0,avenida carlos cano,los barrios,,11370,ES,34956621050.0,avenue carlos cano glorieta la montera,los barrios,cadiz,11370,ES,956621050.0,0.6555555555555556,1,1,0.8,"Matching city, postcode, and country with similar address and nearly identical phone number.",1,1
0.0,609 west maple avenue,springdale,ar,727645335,US,4797515711.0,609 west maple avenue,springdale,ar,72764,US,4797571000.0,0.7231157810375861,1,0,0.7231157810375861,Different phone numbers and postcodes,1,0
0.0,688 9th avenue,new york,ny,100363657,US,2127574555.0,445 west 45th street,new york,ny,100363502,US,2125814269.0,0.3826549940057846,0,0,0.3826549940057846,Cities match but street numbers and addresses differ.,1,1
0.0,401 east chestnut street unit 790,louisville,ky,40202,US,5025838303.0,401 east chestnut street unit 510,louisville,ky,40202,US,5025884800.0,0.6713094673154034,1,0,0.6713094673154034,Street numbers differ.,1,0
1.0,avenida capitao inacio prata sn,sao goncalo do amarante,ce,62670000,BR,,rua capitao inacio prata south north,,,62670000,BR,8533156140.0,0.6789174836831675,1,0,0.6789174836831675,Cities differ and phone numbers do not match.,0,1
1.0,825 east 1180 south,american fork,ut,840033918,US,8014205260.0,825 east 1180 south suite 300,american fork,ut,84003,US,8014205260.0,0.914717923362809,1,1,0.914717923362809,Matching address components and phone number confirm the same place.,1,1
0.0,,,,,TR,,,,,,TR,905335465340.0,0.1206249488931075,0,0,0.1206249488931075,Insufficient address information to confirm a match.,1,1
0.0,calle milicias 4,logrono,,26003,ES,34941261490.0,parque del carmen 6,logrono,,26003,ES,34941244211.0,0.3682818083590775,0,0,0.3682818083590775,"Cities and postcodes match, but street numbers and addresses differ.",1,1
1.0,alliance hospital vijay colony road near porwal paint house,,,444606,IN,917212993929.0,alliance hospital vijay colony road near porwal paint house rukhmini nagar,amravati,maharashtra,444606,IN,9209193400.0,0.7999999999999999,1,0,0.8,Cities and phone numbers differ.,0,1
0.0,1100 west stewart drive,orange,ca,928683849,US,7147718033.0,1000 west la veta drive 1st floor,orange,ca,92868,US,7147346220.0,0.6675586894508643,1,0,0.6675586894508643,Cities match but street numbers and phone numbers differ.,1,0
1.0,275 rainier avenue south,renton,wa,98057,US,8667332693.0,275 rainier avenue south,renton,wa,98057,US,8667332693.0,0.95,1,1,1.0,All address components and phone numbers match.,1,1
1.0,4084 nc 42 highway west,garner,nc,275298424,US,9195535739.0,4084 north carolina 42,garner,nc,27529,US,9195535739.0,0.6712917881478934,1,1,0.99,All address components match and phone numbers are equal.,1,1
1.0,133 bow valley trl,canmore,ab,T1W,CA,4036883400.0,133b 306 bow valley trail,canmore,ab,T1W0N2,CA,4036883400.0,0.6618233823578447,1,1,0.9,Matching phone number and similar address components.,1,1
0.0,160 north eagle creek drive,lexington,ky,405092121,US,8599675737.0,150 north eagle creek drive,lexington,ky,40509,US,8599675000.0,0.7733686076588489,1,0,0.7733686076588489,Street numbers differ.,1,0
0.0,1 medical center boulevard 7th floor,winston salem,nc,27157,US,3367134500.0,1 medical center boulevard 7th floor,winston salem,nc,27157,US,3367162011.0,0.7923010652419931,1,1,0.7923010652419931,All address components match.,0,0
0.0,apollo children hospital no 15 shafee mohammed road thousand lights,chennai,tamil nadu,600006,IN,8605001066.0,apollo hospitals greams road no 21 greams lane off greams road,chennai,tamil nadu,600006,IN,8605001066.0,0.5308674998307756,0,0,0.6,"Similarity score and matching city, postcode, and phone number, but differing street numbers and names.",1,1
1.0,501 north mt vernon avenue,san bernardino,ca,92411,US,9093841080.0,501 north mt vernon avenue,san bernardino,ca,92411,US,9093841080.0,1.0,1,1,1.0,All address components and phone numbers match.,1,1
1.0,Dong Jing Du Zu Li Qu Qian Zhu 3Ding Mu 92,Zu Li Qu,,1200034,JP,81343765222.0,Qian Zhu 3 92 Bei Qian Zhu marui 5f,Zu Li Qu,Dong Jing Du,〒1208501,JP,343765222.0,0.5052337026518146,0,0,0.6,Cities match but street numbers and phone numbers have minor differences.,0,0
1.0,4141 north rockton avenue,rockford,il,61103,US,8153161500.0,4141 north rockton avenue,rockford,il,61103,US,8153161500.0,1.0,1,1,1.0,All address components and phone numbers match.,1,1
1.0,203 jamestown boulevard,rogersville,mo,657426526,US,4175800291.0,203 jamestown boulevard unit c,rogersville,mo,65742,US,4178639455.0,0.6975,1,0,0.6975,Different phone numbers and partial postcode match,0,1
1.0,4514 u south 2,havre,mt,59501,US,4064146076.0,4500 u south 2,havre,mt,59501,US,4062655428.0,0.650609061538858,1,0,0.65,Street numbers differ.,0,1
0.0,8296 old courthouse road,vienna,va,221823852,US,7038488889.0,8320 old courthouse road 130,vienna,va,22182,US,7033564900.0,0.6118474471270798,0,0,0.6118474471270798,Cities match but street numbers differ.,1,1
0.0,4 rue des cloutiers,brive la gaillarde,,19100,FR,33755630052.0,,,,,,33686422761.0,0.0,0,0,0.0,No matching address components and different phone numbers.,1,1
1.0,720 boston tpke,shrewsbury,ma,015454166,US,8005118940.0,720 boston turnpike,shrewsbury,ma,01545,US,8005118940.0,0.977777777777778,1,1,0.977777777777778,All address components match and phone numbers are equal.,1,1
1.0,11 martins lane,exeter,eng,EX11EY,GB,441392272040.0,1 3 martins lane,exeter,,EX11EY,GB,1392272040.0,0.72,1,0,0.72,Street numbers differ.,0,1
1.0,1226 gardiner lane,louisville,ky,402131834,US,5024510595.0,1226 gardiner lane,louisville,ky,40213,US,5024510595.0,0.871009886931692,1,1,0.99,All address components and phone numbers match.,1,1
1.0,2401 north 1 35 east,waxahachie,tx,75167,US,9729380444.0,2401 north 1 35 east,waxahachie,tx,75167,US,9729380444.0,0.8490885839401334,1,1,1.0,All address components and phone numbers match.,1,1
1.0,ctra torroella l estartit km 4 3,l estartit,girona,17258,ES,639408590.0,center torroella a l estartit km 4 3,torroella de montgri,girona,17258,ES,639408590.0,0.9769230769230768,1,0,0.8,Cities differ despite matching phone numbers and similar addresses.,0,1
1.0,rua 5 de outubro 33c,cascais,,2775562,PT,351217241624.0,rua 5 de outubro 33 c east d,cascais,lisbon,2775562,PT,217241624.0,0.8250000000000001,1,1,0.9,"Matching city, postcode, country, and similar phone numbers confirm the same place.",1,1
0.0,1 3 grove road,heron cross,,ST43AY,GB,1782311966.0,hines street,,,ST43AT,GB,441782312671.0,0.3261079618360948,0,0,0.3261079618360948,Cities and street numbers differ between the two records.,1,1
0.0,759 chestnut street,springfield,ma,01199,US,4137945600.0,759 chestnut street,springfield,ma,01199,US,4137945600.0,0.935219638087249,1,1,1.0,All address components and phone numbers match.,0,0
