label,address_freeform,address_locality,address_region,address_postcode,address_country,phone,base_address_freeform,base_address_locality,base_address_region,base_address_postcode,base_address_country,base_phone,match_score,pred_label,llm_same_place,llm_confidence,llm_reason,llm_correct,baseline_correct
1.0,avenida carlos cano,los barrios,,11370,ES,34956621050.0,avenue carlos cano glorieta la montera,los barrios,cadiz,11370,ES,956621050.0,0.6555555555555556,1,1,0.95,"High similarity (0.656), baseline pred=1, matching city/postcode/country, equivalent phone numbers, and address names differ only by minor suffix.",1,1
0.0,609 west maple avenue,springdale,ar,727645335,US,4797515711.0,609 west maple avenue,springdale,ar,72764,US,4797571000.0,0.7231157810375861,1,1,0.95,"High similarity, baseline pred=1, and only phone differs (but digits are close).",0,0
0.0,688 9th avenue,new york,ny,100363657,US,2127574555.0,445 west 45th street,new york,ny,100363502,US,2125814269.0,0.3826549940057846,0,0,0.83,"Low similarity, baseline 0, and addresses differ in street number/name.",1,1
0.0,401 east chestnut street unit 790,louisville,ky,40202,US,5025838303.0,401 east chestnut street unit 510,louisville,ky,40202,US,5025884800.0,0.6713094673154034,1,0,0.85,Same building but different suite numbers (790 vs 510) and different phones.,1,0
1.0,avenida capitao inacio prata sn,sao goncalo do amarante,ce,62670000,BR,,rua capitao inacio prata south north,,,62670000,BR,8533156140.0,0.6789174836831675,1,0,0.95,"Street name differs, no city given in B, and phone numbers differ.",0,1
1.0,825 east 1180 south,american fork,ut,840033918,US,8014205260.0,825 east 1180 south suite 300,american fork,ut,84003,US,8014205260.0,0.914717923362809,1,1,0.95,"Same street address, city, region, country, and phone; suite 300 is subordinate to the main address.",1,1
0.0,,,,,TR,,,,,,TR,905335465340.0,0.1206249488931075,0,0,0.12,"Similarity low, baseline says different, no address fields to confirm match.",1,1
0.0,calle milicias 4,logrono,,26003,ES,34941261490.0,parque del carmen 6,logrono,,26003,ES,34941244211.0,0.3682818083590775,0,0,0.63,"Low similarity, baseline pred=0, and distinct street names/phone numbers indicate separate places.",1,1
1.0,alliance hospital vijay colony road near porwal paint house,,,444606,IN,917212993929.0,alliance hospital vijay colony road near porwal paint house rukhmini nagar,amravati,maharashtra,444606,IN,9209193400.0,0.7999999999999999,1,1,0.85,"Same street, postcode, country and only minor local detail difference; high similarity and baseline agree.",1,1
0.0,1100 west stewart drive,orange,ca,928683849,US,7147718033.0,1000 west la veta drive 1st floor,orange,ca,92868,US,7147346220.0,0.6675586894508643,1,0,0.62,"similarity score is low, baseline predicts match but street numbers differ and phone numbers are different",1,0
1.0,275 rainier avenue south,renton,wa,98057,US,8667332693.0,275 rainier avenue south,renton,wa,98057,US,8667332693.0,0.95,1,1,1.0,identical address and phone number,1,1
1.0,4084 nc 42 highway west,garner,nc,275298424,US,9195535739.0,4084 north carolina 42,garner,nc,27529,US,9195535739.0,0.6712917881478934,1,1,0.98,"High similarity, baseline match 1, identical phone and matching address after normalization.",1,1
1.0,133 bow valley trl,canmore,ab,T1W,CA,4036883400.0,133b 306 bow valley trail,canmore,ab,T1W0N2,CA,4036883400.0,0.6618233823578447,1,0,0.95,"Street numbers differ (133 vs 133b 306), so records are treated as separate places despite matching city and phone.",0,1
0.0,160 north eagle creek drive,lexington,ky,405092121,US,8599675737.0,150 north eagle creek drive,lexington,ky,40509,US,8599675000.0,0.7733686076588489,1,0,0.82,Street numbers differ (160 vs 150) despite same street and city.,1,0
