label,address_freeform,address_locality,address_region,address_postcode,address_country,phone,base_address_freeform,base_address_locality,base_address_region,base_address_postcode,base_address_country,base_phone,match_score,pred_label,llm_same_place,llm_confidence,llm_reason,llm_correct,baseline_correct
1.0,avenida carlos cano,los barrios,,11370,ES,34956621050.0,avenue carlos cano glorieta la montera,los barrios,cadiz,11370,ES,956621050.0,0.6555555555555556,1,1,0.9,"Same city, postcode, country and phone number; address names match in essence.",1,1
0.0,609 west maple avenue,springdale,ar,727645335,US,4797515711.0,609 west maple avenue,springdale,ar,72764,US,4797571000.0,0.7231157810375861,1,1,0.95,"Same street address, city, country and region; phones differ very slightly.",0,0
0.0,688 9th avenue,new york,ny,100363657,US,2127574555.0,445 west 45th street,new york,ny,100363502,US,2125814269.0,0.3826549940057846,0,0,0.99,"Different street numbers, names, and phone numbers; no matching address fields confirm separate places.",1,1
0.0,401 east chestnut street unit 790,louisville,ky,40202,US,5025838303.0,401 east chestnut street unit 510,louisville,ky,40202,US,5025884800.0,0.6713094673154034,1,0,0.35,"similarity and baseline suggest match, but unit numbers differ (790 vs 510)",1,0
1.0,avenida capitao inacio prata sn,sao goncalo do amarante,ce,62670000,BR,,rua capitao inacio prata south north,,,62670000,BR,8533156140.0,0.6789174836831675,1,0,0.85,Street name and city data differ; similarity is high but address mismatch overrides.,0,1
1.0,825 east 1180 south,american fork,ut,840033918,US,8014205260.0,825 east 1180 south suite 300,american fork,ut,84003,US,8014205260.0,0.914717923362809,1,1,0.99,"Same street address, city, postcode prefix, country, and phone; suite suffix is the only difference.",1,1
0.0,,,,,TR,,,,,,TR,905335465340.0,0.1206249488931075,0,0,0.12,"Low similarity, baseline says different, address fields too sparse to confirm match.",1,1
0.0,calle milicias 4,logrono,,26003,ES,34941261490.0,parque del carmen 6,logrono,,26003,ES,34941244211.0,0.3682818083590775,0,0,0.85,"Street names and numbers differ, so they are distinct places despite same city and postcode.",1,1
1.0,alliance hospital vijay colony road near porwal paint house,,,444606,IN,917212993929.0,alliance hospital vijay colony road near porwal paint house rukhmini nagar,amravati,maharashtra,444606,IN,9209193400.0,0.7999999999999999,1,1,0.85,"Same postcode, both mention Alliance Hospital on Vijay Colony Road; near-identical address despite slight suffix and different phones.",1,1
0.0,1100 west stewart drive,orange,ca,928683849,US,7147718033.0,1000 west la veta drive 1st floor,orange,ca,92868,US,7147346220.0,0.6675586894508643,1,0,0.93,Street numbers and street names differ; phones differ.,1,0
1.0,275 rainier avenue south,renton,wa,98057,US,8667332693.0,275 rainier avenue south,renton,wa,98057,US,8667332693.0,0.95,1,1,1.0,identical address and phone,1,1
1.0,4084 nc 42 highway west,garner,nc,275298424,US,9195535739.0,4084 north carolina 42,garner,nc,27529,US,9195535739.0,0.6712917881478934,1,1,0.95,"High similarity score, baseline match, identical phone, and matching address parts (4084 nc 42 = 4084 north carolina 42; same city, postcode, country).",1,1
1.0,133 bow valley trl,canmore,ab,T1W,CA,4036883400.0,133b 306 bow valley trail,canmore,ab,T1W0N2,CA,4036883400.0,0.6618233823578447,1,1,0.95,Both in Canmore with identical phone; slight street-number difference (133 vs 133b unit 306) is minor.,1,1
0.0,160 north eagle creek drive,lexington,ky,405092121,US,8599675737.0,150 north eagle creek drive,lexington,ky,40509,US,8599675000.0,0.7733686076588489,1,0,0.9,"Street numbers differ (160 vs 150) and phone numbers differ, outweighing high similarity score.",1,0
0.0,1 medical center boulevard 7th floor,winston salem,nc,27157,US,3367134500.0,1 medical center boulevard 7th floor,winston salem,nc,27157,US,3367162011.0,0.7923010652419931,1,1,0.92,Every address component matches and similarity score is high; differing phones but within same large facility.,0,0
0.0,apollo children hospital no 15 shafee mohammed road thousand lights,chennai,tamil nadu,600006,IN,8605001066.0,apollo hospitals greams road no 21 greams lane off greams road,chennai,tamil nadu,600006,IN,8605001066.0,0.5308674998307756,0,0,0.85,same city and phone but different street names and numbers,1,1
1.0,501 north mt vernon avenue,san bernardino,ca,92411,US,9093841080.0,501 north mt vernon avenue,san bernardino,ca,92411,US,9093841080.0,1.0,1,1,1.0,identical address and phone,1,1
1.0,Dong Jing Du Zu Li Qu Qian Zhu 3Ding Mu 92,Zu Li Qu,,1200034,JP,81343765222.0,Qian Zhu 3 92 Bei Qian Zhu marui 5f,Zu Li Qu,Dong Jing Du,〒1208501,JP,343765222.0,0.5052337026518146,0,1,0.85,"High similarity score, baseline prediction agrees, cities and country match, phone numbers are the same, addresses describe the same building.",1,0
1.0,4141 north rockton avenue,rockford,il,61103,US,8153161500.0,4141 north rockton avenue,rockford,il,61103,US,8153161500.0,1.0,1,1,1.0,All address components and phone numbers are identical.,1,1
1.0,203 jamestown boulevard,rogersville,mo,657426526,US,4175800291.0,203 jamestown boulevard unit c,rogersville,mo,65742,US,4178639455.0,0.6975,1,1,0.9,"Same street number, city, region, country; similarity and baseline indicate match though unit suffix and phone differ",1,1
1.0,4514 u south 2,havre,mt,59501,US,4064146076.0,4500 u south 2,havre,mt,59501,US,4062655428.0,0.650609061538858,1,0,0.93,Street numbers differ (4514 vs 4500) despite same city/postcode.,0,1
0.0,8296 old courthouse road,vienna,va,221823852,US,7038488889.0,8320 old courthouse road 130,vienna,va,22182,US,7033564900.0,0.6118474471270798,0,0,0.78,"High similarity but baseline says different; street numbers differ (8296 vs 8320) and phones differ, so they are distinct places.",1,1
0.0,4 rue des cloutiers,brive la gaillarde,,19100,FR,33755630052.0,,,,,,33686422761.0,0.0,0,0,0.1,"B lacks all address data, so they cannot be confirmed as the same place.",1,1
1.0,720 boston tpke,shrewsbury,ma,015454166,US,8005118940.0,720 boston turnpike,shrewsbury,ma,01545,US,8005118940.0,0.977777777777778,1,1,0.98,"Nearly identical addresses (tpke≡turnpike), same city/postcode/country, identical phone, high similarity score.",1,1
1.0,11 martins lane,exeter,eng,EX11EY,GB,441392272040.0,1 3 martins lane,exeter,,EX11EY,GB,1392272040.0,0.72,1,1,0.95,"High similarity score and matching city, postcode, country and phone number indicate the same place despite slight address formatting difference.",1,1
1.0,1226 gardiner lane,louisville,ky,402131834,US,5024510595.0,1226 gardiner lane,louisville,ky,40213,US,5024510595.0,0.871009886931692,1,1,0.99,"High similarity score and baseline match, all address components and phone number identical.",1,1
1.0,2401 north 1 35 east,waxahachie,tx,75167,US,9729380444.0,2401 north 1 35 east,waxahachie,tx,75167,US,9729380444.0,0.8490885839401334,1,1,0.99,All address fields and phone numbers are identical.,1,1
1.0,ctra torroella l estartit km 4 3,l estartit,girona,17258,ES,639408590.0,center torroella a l estartit km 4 3,torroella de montgri,girona,17258,ES,639408590.0,0.9769230769230768,1,1,0.98,"High similarity score, baseline match, identical postcode/phone, and address differences are only phonetic spelling variants.",1,1
1.0,rua 5 de outubro 33c,cascais,,2775562,PT,351217241624.0,rua 5 de outubro 33 c east d,cascais,lisbon,2775562,PT,217241624.0,0.8250000000000001,1,1,0.92,"High similarity, baseline match, cities and postcodes identical, phones same, only minor suffix difference in street number.",1,1
0.0,1 3 grove road,heron cross,,ST43AY,GB,1782311966.0,hines street,,,ST43AT,GB,441782312671.0,0.3261079618360948,0,0,0.95,"Different street names, postcodes, and cities; similarity score is low.",1,1
0.0,759 chestnut street,springfield,ma,01199,US,4137945600.0,759 chestnut street,springfield,ma,01199,US,4137945600.0,0.935219638087249,1,1,0.94,Identical address fields and phone number confirm same location.,0,0
0.0,1800 carl d silver parkway,fredericksburg,va,22401,US,5407862090.0,1800 carl d silver parkway,fredericksburg,va,22401,US,5405488095.0,0.7006942036068307,1,1,0.95,"All address components match; only phone numbers differ, likely alternate lines for the same location.",0,0
0.0,5925 east saylor street,lakeside marblehead,oh,434409599,US,4192315664.0,5925 east saylor street,lakeside marblehead,oh,43440,US,4197020589.0,0.6288881509285924,0,1,0.85,same address and city with only differing phone but very high similarity score and baseline 1.,0,1
0.0,12 srinagar street,,,700129,IN,,hormuz villa sodepur road,madhyamgram,west bengal,700129,IN,8001030123.0,0.2280972222222222,0,0,0.75,"Street addresses differ and no city given for A, so cannot confirm same place despite matching postcode and country.",1,1
1.0,90 colesbourne road,cheltenham,,GL516DN,GB,1452538638.0,90 colesbourne road,cheltenham,gloucestershire,GL516DN,GB,1452538638.0,0.95089216014613,1,1,0.95,"High similarity, baseline match 1, identical address components and phone.",1,1
1.0,6300 west parker road,plano,tx,750938100,US,9729817870.0,6300 west parker road 322,plano,tx,75093,US,9729817870.0,1.0,1,1,0.95,"High similarity, baseline match, identical phone, and matching street/city/country with only a suite number difference.",1,1
1.0,37 silvester way,fleet,eng,GU520RG,GB,441252625464.0,37 silvester way church crookham,fleet,,GU520RG,GB,1252625464.0,0.676,1,1,0.92,"Same street number, name, city, postcode and phone normalize to match; region blank is minor.",1,1
